id;login;first_name;last_name;bio;profile_picture;profile_picture_content_type;course;course_year;university;gym_skill;gym_location;gym_time;study_time;sports;sports_skill;sports_time;preferred_society;preferred_events;events_time;preferred_activities
1;now;Imelda;Nienow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;MEDICINE;6;ASTON_UNIVERSITY;PROFESSIONAL;THE_GYM_SELLY_OAK;NIGHT;NIGHT;NETBALL;INTERMEDIATE;MORNING;OTHER;MEET_AND_GREET;NIGHT;SOCIAL
2;down consequently industrialize;Osvaldo;Torphy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;MUSIC;2;UNIVERSITY_OF_NOTTINGHAM;CONFIDENT;PUREGYM_FIVE_WAYS;EARLY_MORNING;EARLY_MORNING;BOXING;NOVICE;MORNING;OTHER;GAMES_NIGHT;MORNING;ACADEMIC
3;readies including;Anna;Wolf;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;BIOLOGY;4;UNIVERSITY_OF_BIRMINGHAM;CONFIDENT;PUREGYM_FIVE_WAYS;EARLY_MORNING;EVENING;CRICKET;CONFIDENT;EVENING;VIETNAMESE;RELIGIOUS;NIGHT;SOCIAL
4;over;Stewart;Corkery;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;PHYSICS;1;UNIVERSITY_OF_NOTTINGHAM;INTERMEDIATE;THE_GYM_SELLY_OAK;LATE_NIGHT;EARLY_MORNING;BADMINTON;NOVICE;AFTERNOON;BAKING;GAMES_NIGHT;NIGHT;SOCIAL
5;gadzooks;Amiya;Bosco-Reichert;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;BUSINESS;4;UNIVERSITY_OF_BIRMINGHAM;INTERMEDIATE;PUREGYM_FIVE_WAYS;LATE_NIGHT;LATE_NIGHT;TABLE_TENNIS;INTERMEDIATE;EARLY_MORNING;ABACUS;ACADEMIC;EARLY_MORNING;OTHER
6;until delirious;Marc;Friesen;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;ECONOMICS;6;UNIVERSITY_OF_NOTTINGHAM;NOVICE;THE_GYM_SELLY_OAK;EVENING;EVENING;HOCKEY;PROFESSIONAL;LATE_NIGHT;VIETNAMESE;MEET_AND_GREET;NIGHT;OTHER
7;where as react;Rocky;Rempel-Leuschke;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;SOCIOLOGY;1;UNIVERSITY_OF_NOTTINGHAM;PROFESSIONAL;THE_GYM_SELLY_OAK;MORNING;AFTERNOON;BADMINTON;NOVICE;NIGHT;WELSH;MEET_AND_GREET;EVENING;OTHER
8;afore pish;Jordi;Bernhard;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAW;1;UNIVERSITY_OF_NOTTINGHAM;NOVICE;THE_GYM_SELLY_OAK;NIGHT;NIGHT;BOXING;NOVICE;NIGHT;SIKH;RELIGIOUS;EVENING;SOCIAL
9;writhing sans;Sandy;Bradtke;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;ENGINEERING;4;UNIVERSITY_OF_BIRMINGHAM;PROFESSIONAL;PUREGYM_FIVE_WAYS;EVENING;AFTERNOON;NETBALL;NOVICE;MORNING;PUNJABI;CLUBBING;LATE_NIGHT;OTHER
10;why mid so;Charles;Zemlak;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;SOCIOLOGY;6;BIRMINGHAM_CITY_UNIVERSITY;PROFESSIONAL;THE_GYM_SELLY_OAK;AFTERNOON;LATE_NIGHT;ATHLETICS;PROFESSIONAL;EVENING;EGYPTIAN;GAMES_NIGHT;EARLY_MORNING;SPORTS
